Tuesday,"['thứ ba', 'ngày thứ ba', 'thứ Ba', 'Thứ Ba']"
beat,"['đánh', 'đập', 'thắng', 'nện', 'đánh đập', 'phách', 'đánh bại', 'đấm', 'vượt', 'gõ', 'dần', 'vỗ', 'nhịp đập', 'nẹt', 'đánh tơi', 'khua', 'phễn', 'choảng', 'quai', 'quỵ', 'gò', 'cuộc săn đuổi', 'cái trội hơn hẳn', 'cái vượt hơn hẳn', 'khu vực săn đuổi', 'khu vực đi tuần', 'người thất nghiệp', 'nản chí', 'sự đi tuần', 'sự đập', 'thành hình', 'tiếng đập', 'nhịp', 'đả', 'tháng', 'khuấy', 'xao']"
thrifty,"['tiết kiệm', 'tằn tiện', 'cần kiệm', 'kiệm', 'phồn vinh', 'thịnh vượng', 'tùng tiệm']"
thrifty,"['tiết kiệm', 'tằn tiện', 'cần kiệm', 'kiệm', 'phồn vinh', 'thịnh vượng', 'tùng tiệm']"
frugality,"['tính chất thanh đạm', 'tính căn cơ', 'tính tiết kiệm', 'tính thanh đạm']"
wish,"['muốn', 'mong', 'hy vọng', 'chúc', 'cầu mong', 'ý muốn', 'ước', 'cầu', 'lời cầu', 'ý nguyện', 'điều ước', 'lời chúc', 'lệnh', 'chí nguyện', 'cầu chúc', 'lòng ao ước', 'lòng mong muốn', 'lòng thèm muốn', 'mong ước', 'nguyện vọng', 'sở cầu', 'sở nguyện', 'sở vọng', 'thèm muốn', 'điều mong ước', 'ước ao', 'ước mong', 'ước muốn', 'ước mơ', 'nguyện', 'yêu cầu']"
damn,"['nguyền rủa', 'chê', 'chửi rủa', 'cha', 'chút', 'tí', 'ít', 'biếm', 'chê trách', 'chẳng đáng một trinh', 'chẳng đáng nửa đồng', 'chỉ trích', 'kết tội', 'la ó', 'làm hại', 'làm thất bại', 'làn nguy hại', 'lời chửi rủa', 'lời nguyền rủa', 'đoạ đày', 'đày địa ngục', 'tồi tệ']"
damn,"['nguyền rủa', 'chê', 'chửi rủa', 'cha', 'chút', 'tí', 'ít', 'biếm', 'chê trách', 'chẳng đáng một trinh', 'chẳng đáng nửa đồng', 'chỉ trích', 'kết tội', 'la ó', 'làm hại', 'làm thất bại', 'làn nguy hại', 'lời chửi rủa', 'lời nguyền rủa', 'đoạ đày', 'đày địa ngục', 'tồi tệ']"
Pasteurize,"['diệt khuẩn theo phương pháp pa-xtơ; làm tiệt trùng', 'tiệt trùng']"
pepper,"['hạt tiêu', 'hồ tiêu', 'tiêu', 'cây hạt tiêu', 'cây tiêu', 'quả ớt', 'ớt', 'bắn như mưa vào', 'cho tiêu vào', 'hỏi dồn', 'ném lên', 'rải lên', 'rắc lên', 'rắc tiêu vào', 'trừng phạt nghiêm khắc', 'điều chua cay', 'cây ớt']"
Templates,['cannot found']
representative,"['đại diện', 'tiêu biểu', 'đại biểu', 'mẫu', 'dân biểu', 'dại diện', 'biểu diễn', 'biểu hiện', 'cái tiêu biểu', 'cái tượng trưng', 'cái điển hình', 'miêu tả', 'nghị viên', 'người đại biểu', 'người đại diện', 'tượng trưng', 'đại nghị', 'điển hình']"
criteria,"['tiêu chuẩn', 'tieâu chuaån', 'tiêu chí']"
standard,"['tiêu chuẩn', 'trình độ', 'chuẩn', 'cờ', 'mức', 'bản vị', 'mẫu', 'chuẩn độ', 'cột', 'làm tiêu chuẩn', 'định mức', 'hạng', 'Xtanđa', 'chân', 'thứ', 'chuẩn mực', 'chất lượng trung bình', 'cánh cờ', 'cây mọc đứng', 'cờ hiệu', 'lớp học', 'quy cách']"
standardize,"['chuẩn mực hoá', 'quy cách hóa', 'tiêu chuẩn hoá', 'tiêu chuẩn hóa']"
focal distance,['cannot found']
negative,"['âm', 'phủ định', 'tiêu cực', 'phủ nhận', 'cự tuyệt', 'lời từ chối', 'phản đối', 'bi quan', 'bất lợi', 'âm tính', 'không', 'bác bỏ', 'bản âm', 'chống lại', 'cấm đoán', 'cực âm', 'làm thành vô hiệu', 'lời cự tuyệt', 'quyền phủ nhận', 'quyền phủ quyết', 'quyền phủ định', 'số âm', 'tính tiêu cực', 'từ chối', 'từ phủ định', 'âm bản']"
pepper knife,['cannot found']
extermination,"['sự tiêu diệt', 'sự huỷ diệt', 'sự hủy diệt', 'sự triệt']"
consumption,"['sự tiêu dùng', 'bệnh lao phổi', 'sự tiêu diệt', 'sự tiêu huỷ', 'sự tiêu thụ', 'sự tàn phá', 'tiêu thụ', 'lao', 'Tiêu dùng', 'ho lao', 'lao phổi', 'tiêu dùng']"
title,"['tước', 'tựa', 'danh nghĩa', 'tên', 'tiêu đề', 'tít', 'tước danh', 'tước hiệu', 'tước vị', 'tựa đề', 'đầu đề', 'đề mục', 'tuổi', 'chuẩn độ', 'chứng thư', 'danh hiệu', 'nhan đề', 'quyền sở hữu', 'tư cách', 'văn tự', 'danh', 'Chức danh', 'chức danh']"
focus,"['tiêu điểm', 'trung tâm', 'tập trung', 'làm nổi bật', 'làm tụ vào', 'mũi giùi', 'trọng tâm', 'trọng điểm tâm', 'tụ vào tiêu điểm', 'điều chỉnh tiêu điểm', 'điểm tập trung', 'ổ bệnh']"
drear,"['buồn thảm', 'thê lương', 'tồi tàn', 'ảm đạm']"
poison,"['chất độc', 'thuốc độc', 'độc', 'nọc', 'độc dược', 'độc tố', 'bỏ thuốc độc', 'đầu độc', 'nọc độc', 'thuyết đầu độc', 'thuyết độc hại', 'tẩm thuốc độc', 'đánh bả', 'đánh thuốc độc', 'Chất độc']"
attrition,"['hao mòn', 'sự cọ mòn', 'sự làm kiệt sức', 'sự mòn', 'sự sám hối', 'sự tiêu hao']"
Digest,"['tiêu hóa', 'tiêu hoá', 'tiêu', 'nhịn', 'nuốt', 'ninh', 'sắc', 'chịu đựng', 'hiểu thấu', 'làm tiêu hoá', 'lãnh hội', 'lĩnh hội', 'phân loại', 'suy nghĩ kỹ càng', 'sách tóm tắt', 'sắp xếp trong óc', 'tiêu hoá được', 'tạp chí', 'tập san thời sự', 'tập san văn học', 'đồng hoá', 'hiểu', 'thấm nhuần']"
destroy,"['phá', 'phá hoại', 'phá hủy', 'hủy', 'diệt', 'phá huỷ', 'huỷ', 'làm mất hiệu lực', 'phá bỏ', 'thiêu hủy', 'tiêu diệt', 'triệt phá', 'triệt tiêu', 'tàn phá', 'giết', 'hại']"
entertainment,"['giải trí', 'buổi chiêu đãi', 'cuộc giải trí', 'ngành giải trí', 'sự chiêu đãi', 'sự giải trí', 'sự hoan nghênh', 'sự nuôi dưỡng', 'sự tiêu khiển', 'sự tiếp đãi', 'sự tán thành', 'sự vui chơi', 'sự ấp ủ', 'trò vui', 'vui chơi']"
pepper,"['hạt tiêu', 'hồ tiêu', 'tiêu', 'cây hạt tiêu', 'cây tiêu', 'quả ớt', 'ớt', 'bắn như mưa vào', 'cho tiêu vào', 'hỏi dồn', 'ném lên', 'rải lên', 'rắc lên', 'rắc tiêu vào', 'trừng phạt nghiêm khắc', 'điều chua cay', 'cây ớt']"
slogan,"['khẩu hiệu', 'câu khẩu hiệu', 'tiếng hô xung trận']"
spend,"['tiêu', 'tốn', 'hết', 'chi tiêu', 'tiêu pha', 'chi', 'dùng', 'dùng thời giờ', 'qua', 'tàn', 'chi phí', 'làm dịu đi', 'làm hết', 'làm hết đà', 'làm kiệt', 'làm nguôi đi', 'sống qua', 'tiêu phí', 'tiêu tiền', 'tiêu xài', 'trải qua', 'đẻ trứng', 'sử dụng']"
room pepper,['cannot found']
spend,"['tiêu', 'tốn', 'hết', 'chi tiêu', 'tiêu pha', 'chi', 'dùng', 'dùng thời giờ', 'qua', 'tàn', 'chi phí', 'làm dịu đi', 'làm hết', 'làm hết đà', 'làm kiệt', 'làm nguôi đi', 'sống qua', 'tiêu phí', 'tiêu tiền', 'tiêu xài', 'trải qua', 'đẻ trứng', 'sử dụng']"
pepper color,['cannot found']
divertissement,['tiết mục đệm']
White pepper,['cannot found']
pepper,"['hạt tiêu', 'hồ tiêu', 'tiêu', 'cây hạt tiêu', 'cây tiêu', 'quả ớt', 'ớt', 'bắn như mưa vào', 'cho tiêu vào', 'hỏi dồn', 'ném lên', 'rải lên', 'rắc lên', 'rắc tiêu vào', 'trừng phạt nghiêm khắc', 'điều chua cay', 'cây ớt']"
dissipate,"['chơi bời phóng đãng', 'làm hao mòn', 'làm lãng', 'làm tiêu tan', 'làm tản mạn', 'nội động từ', 'phung phí', 'tiêu mòn', 'tiêu phí', 'tiêu tan', 'tiêu tán', 'tán xạ', 'uổng phí', 'xua tan']"
dissipate,"['chơi bời phóng đãng', 'làm hao mòn', 'làm lãng', 'làm tiêu tan', 'làm tản mạn', 'nội động từ', 'phung phí', 'tiêu mòn', 'tiêu phí', 'tiêu tan', 'tiêu tán', 'tán xạ', 'uổng phí', 'xua tan']"
spend me,['cannot found']
destroy earth,['cannot found']
consume,"['tiêu thụ', 'ăn', 'tàn phá', 'dùng', 'tiêu dùng', 'thiêu hủy', 'tiêu hủy', 'ăn uống', 'thiêu', 'đốt', 'bỏ phí', 'cháy hết', 'cháy đi', 'chết dần', 'hao mòn', 'héo hon', 'làm hao mòn', 'làm héo hon', 'làm khô héo', 'làm tiều tuỵ', 'lãng phí', 'mòn mỏi', 'tan nát hết', 'tiêu hao', 'tiều tuỵ', 'an']"
eliminate,"['loại trừ', 'loại ra', 'loại', 'trừ', 'diệt', 'khử', 'thải', 'bài tiết', 'bài xuất', 'gạt bỏ', 'khu trừ', 'khử bỏ', 'loại bỏ', 'lờ đi', 'rút ra', 'đào thải', 'bài trừ', 'bãi bõ', 'giải tán', 'loaïi ra, loaïi tröø', 'thanh toán', 'thủ tiêu', 'tiêu diệt', 'xỏa bỏ', 'đóng cửa']"
spend,"['tiêu', 'tốn', 'hết', 'chi tiêu', 'tiêu pha', 'chi', 'dùng', 'dùng thời giờ', 'qua', 'tàn', 'chi phí', 'làm dịu đi', 'làm hết', 'làm hết đà', 'làm kiệt', 'làm nguôi đi', 'sống qua', 'tiêu phí', 'tiêu tiền', 'tiêu xài', 'trải qua', 'đẻ trứng', 'sử dụng']"
perish,"['diệt vong', 'chết', 'bỏ mình', 'bỏ mạng', 'héo rụi', 'hỏng đi', 'làm bỏ mạng', 'làm héo rụi', 'làm hỏng', 'làm tàn lụi', 'tàn lụi']"
spending,"['chi phí', 'chi tiêu']"
title,"['tước', 'tựa', 'danh nghĩa', 'tên', 'tiêu đề', 'tít', 'tước danh', 'tước hiệu', 'tước vị', 'tựa đề', 'đầu đề', 'đề mục', 'tuổi', 'chuẩn độ', 'chứng thư', 'danh hiệu', 'nhan đề', 'quyền sở hữu', 'tư cách', 'văn tự', 'danh', 'Chức danh', 'chức danh']"
pepper,"['hạt tiêu', 'hồ tiêu', 'tiêu', 'cây hạt tiêu', 'cây tiêu', 'quả ớt', 'ớt', 'bắn như mưa vào', 'cho tiêu vào', 'hỏi dồn', 'ném lên', 'rải lên', 'rắc lên', 'rắc tiêu vào', 'trừng phạt nghiêm khắc', 'điều chua cay', 'cây ớt']"
woodcutter,"['người đẵn gỗ', 'thợ khắc gỗ', 'thợ đốn gỗ', 'tiều phu']"
Haggard,"['hốc hác', 'phờ', 'bơ phờ', 'bần thần', 'không dạy được', 'không thuần', 'phờ phạc', 'rũ rượi']"
pee,"['nước tiểu', 'tiểu', 'pê', 'pờ', 'nước đái', 'tè', 'đái', 'đi giải', 'sự đi giải', 'sự đi tiểu', 'sự đi đái', 'đi tiểu', 'đi đái']"
subcommittee,['tiểu ban']
state,"['nhà nước', 'trạng thái', 'tiểu bang', 'tình trạng', 'quốc gia', 'bang', 'tuyên bố', 'nước', 'phát biểu', 'quốc', 'bối cảnh', 'định', 'quy', 'tập', 'qui', 'ngai', 'bệ', 'chính quyền', 'chính thức', 'chính trị', 'chế độ', 'nói rõ', 'sự huy hoàng', 'sự lo lắng', 'sự trang trọng', 'sự trọng thể', 'xã tắc', 'địa vị xã hội', 'châu', 'quê hương', 'tổ quốc', 'đất nước']"
small master,['cannot found']
little uncle,['cannot found']
sub-technology,['cannot found']
urinary tract,['cannot found']
Xiao Di,['cannot found']
sub-registered faculty,['cannot found']
junior,"['con', 'em', 'hậu bối', 'hậu sinh', 'người cấp dưới', 'người ít tuổi hơn', 'trẻ tuổi hơn', 'ít thâm niên hơn', 'ít tuổi hơn', 'ở cấp dưới', 'cấp thấp', 'thấp hơn']"
Battalion,"['tiểu đoàn', 'Tiểu đoàn']"
battalion,"['tiểu đoàn', 'Tiểu đoàn']"
deputy battalion,['cannot found']
Small captain,['cannot found']
platoon,"['trung đội', 'Trung đội']"
platoon lieutenant,['cannot found']
platoon leader,['cannot found']
Xiao Dong,['cannot found']
Xiao Han,['cannot found']
mini figure,['cannot found']
primary school,['cannot found']
Xiao Khe,['cannot found']
small gas,['cannot found']
subdivision,"['sự chia nhỏ ra', 'chi nhánh', 'phân chi', 'phân hiệu', 'phân mục', 'phần chia nhỏ ra', 'vùng', 'khu vực', 'phân ngành']"
Xiaoqiao,['cannot found']
minor,"['thứ yếu', 'nhỏ', 'thứ', 'em', 'bé', 'thiếu nhi', 'trẻ vị thành niên', 'mọn', 'không quan trọng', 'người vị thành niên', 'vị thành niên', 'điệu th', 'Vị thành niên', 'vò thaønh nieân, em nhoû']"
submachine gun,['cannot found']
essay,"['bài luận', 'bài tiểu luận', 'luận', 'thử', 'bài văn', 'cảo luận', 'cố gắng', 'cố làm', 'luận văn', 'sự làm cố gắng', 'sự làm thử', 'thử làm', 'thử thách', 'tiểu luận', 'tùy bút', 'Tiểu luận']"
small vessels,['cannot found']
cerebellum,"['thuộc não', 'thuộc óc', 'tiểu não', 'Tiểu não']"
Primary human,['cannot found']
small farmers,['cannot found']
small scale,['cannot found']
minor,"['thứ yếu', 'nhỏ', 'thứ', 'em', 'bé', 'thiếu nhi', 'trẻ vị thành niên', 'mọn', 'không quan trọng', 'người vị thành niên', 'vị thành niên', 'điệu th', 'Vị thành niên', 'vò thaønh nieân, em nhoû']"
story,"['chuyện', 'câu chuyện', 'truyện', 'tầng', 'cuốn chuyện', 'quyển chuyện', 'một câu chuyện', 'tầng nhà', 'storey', 'cốt truyện', 'lịch sử', 'quá khứ', 'sử học', 'sự tích', 'tiểu sử', 'tình tiết', 'văn bản', 'Story', 'bài viết', 'lời nói dối']"
little apple,['cannot found']
mini heart,['cannot found']
minor surplus,['cannot found']
small farmer,['cannot found']
poetry,"['thơ', 'thi ca', 'thơ ca', 'nghệ thuật thơ', 'thi', 'chất thơ', 'thi vị']"
cottage crafts,['cannot found']
novel,"['tiểu thuyết', 'mới', 'mới lạ', 'truyện', 'lạ thường']"
urine test,['cannot found']
miniscule,['cannot found']
small business,['cannot found']
urinating,['cannot found']
detail,"['chi tiết', 'cắt cử', 'chi đội', 'cắt cứ', 'kể chi tiết', 'phân đội', 'sự trao nhật lệnh', 'tiểu tiết', 'trình bày tỉ mỉ', 'tình tiết', 'điều tỉ mỉ', 'điều vụn vặt', 'đặc điểm']"
minor,"['thứ yếu', 'nhỏ', 'thứ', 'em', 'bé', 'thiếu nhi', 'trẻ vị thành niên', 'mọn', 'không quan trọng', 'người vị thành niên', 'vị thành niên', 'điệu th', 'Vị thành niên', 'vò thaønh nieân, em nhoû']"
sub-team,['cannot found']
short stories,['cannot found']
petty bourgeoisie,['cannot found']
trick,"['trò', 'ngón', 'trò bịp bợm', 'lừa', 'mẹo', 'khoé', 'cú', 'chước', 'mánh', 'thủ thuật', 'trò bịp', 'trò đùa', 'đòn', 'tật', 'thói', 'phép', 'bí quyết', 'mánh khoé', 'mánh lới', 'mánh lới nhà nghề', 'mưu chước', 'mưu mẹo', 'nước bài', 'thủ đoạn đánh lừa', 'trò choi xỏ', 'trò chơi khăm', 'trò gian trá', 'trò khéo', 'trò ranh ma', 'trò tinh nghịch', 'kỹ năng', 'lừa gạt', 'sự lừa dối', 'ảo thuật']"
pee,"['nước tiểu', 'tiểu', 'pê', 'pờ', 'nước đái', 'tè', 'đái', 'đi giải', 'sự đi giải', 'sự đi tiểu', 'sự đi đái', 'đi tiểu', 'đi đái']"
witchcraft,"['ma thuật', 'pháp thuật', 'phép phù thuỷ', 'phép thuật', 'sức mê hoặc', 'sức quyến rũ', 'Thuật phù thủy', 'phép phù thủy', 'trò phù thủy', 'yêu thuật']"
eradication,"['sự nhổ rễ', 'sự trừ tiệt', 'sự thủ tiêu']"
funny,"['buồn cười', 'khôi hài', 'là lạ', 'ngồ ngộ', 'vui', 'hài hước', 'khang khác', 'kỳ quặc', 'câu chuyện khôi hài', 'kỳ cục', 'lời nói buồn cười', 'thuyền một người chèo', 'tiếu lâm', 'tập tranh khôi hài', 'tập tranh vui', 'đến hay', 'kỳ lạ']"
smug,"['bảnh choẹ', 'bảnh chọe', 'tự mãn', 'tự phụ', 'đỏm dáng']"
heart,"['tim', 'trái tim', 'lòng', 'tâm', 'cơ', 'trung tâm', 'hình trái tim', 'tình', 'cõi lòng', 'giữa trung tâm', 'lõi', 'nhiệt tình', 'nỗi lòng', '中心', '心', 'dạ', 'bụng', 'giữa', 'ruột', 'bóng vía', 'bầu tâm sự', 'bụng dạ', 'can trường', 'cảm tình', 'dũng khí', 'lá bài ""cơ""', 'lòng can đảm', 'lồng ngực', 'người thân yêu', 'người yêu quí', 'phần tinh tuý', 'quả tim', 'ruột gan', 'sự màu mỡ', 'sự nhiệt tâm', 'thực chất', 'tâm can', 'tâm huyết', 'tâm hồn', 'tình yêu thương', 'tấm lòng', 'vật hình tim', 'điểm chính', 'điểm chủ yếu', 'điểm mấu chốt', 'Tim']"
black Heart,['cannot found']
heart is,['cannot found']
purple heart,['cannot found']
Find,"['tìm', 'tìm thấy', 'thấy', 'kiếm', 'được', 'nhận', 'bắt được', 'nhận thấy', 'gặp', 'tới', 'trúng', 'cung cấp', 'nhận được', 'sự tìm thấy', 'thấy có', 'tìm ra', 'vật tìm thấy', 'xét thấy', 'đạt tới', 'coi', 'quơ', 'cho rằng', 'kiếm thấy', 'tìm được']"
learn about,['cannot found']
search,"['tìm', 'tìm kiếm', 'khám xét', 'lục soát', 'lục', 'dò', 'việc tìm kiếm', 'khám', 'nhìn để tìm', 'sờ để tìm', 'sục sạo', 'sự khám xét', 'sự lục soát', 'sự nghiên cứu', 'sự nhìn để tìm', 'sự sờ để tìm', 'sự điều tra', 'tham dò', 'tìm cho ra', 'tìm hiểu', 'tìm tòi', 'điều tra', 'kiếm', 'sự tìm kiếm']"
search,"['tìm', 'tìm kiếm', 'khám xét', 'lục soát', 'lục', 'dò', 'việc tìm kiếm', 'khám', 'nhìn để tìm', 'sờ để tìm', 'sục sạo', 'sự khám xét', 'sự lục soát', 'sự nghiên cứu', 'sự nhìn để tìm', 'sự sờ để tìm', 'sự điều tra', 'tham dò', 'tìm cho ra', 'tìm hiểu', 'tìm tòi', 'điều tra', 'kiếm', 'sự tìm kiếm']"
Violet,"['Chi Hoa tím', 'hoa tím', 'Tím', 'tía', 'áo tím']"
bruised,['giập']
purple liver,['cannot found']
purple intestine,['cannot found']
believe,"['tin', 'tin tưởng', 'ngỡ', 'công nhận', 'cho rằng', 'nghĩ rằng', 'tưởng']"
bad news,['cannot found']
trust,"['tin cậy', 'tin', 'tín nhiệm', 'hy vọng', 'phó thác', 'lòng tin', 'sứ mệnh', 'sự tin tưởng', 'tin tưởng', 'trách nhiệm', 'tín thác', 'tơrơt', 'bán chịu', 'bỏ mặc', 'cho chịu', 'giao phó', 'ký thác', 'kỳ vọng', 'niềm hy vọng', 'phó mặc', 'sự bán chịu', 'sự giao phó', 'sự mua chịu', 'sự phó thác', 'sự tin cậy', 'sự trông mong', 'sự tín nhiệm', 'sự uỷ thác', 'tin cậy vào', 'trông cậy', 'trông mong', 'tín dụng', 'từ rớt', 'uỷ thác', 'để mặc', 'ủy thác', 'mong muốn', 'sự trông nom', 'tin cẩn']"
trust,"['tin cậy', 'tin', 'tín nhiệm', 'hy vọng', 'phó thác', 'lòng tin', 'sứ mệnh', 'sự tin tưởng', 'tin tưởng', 'trách nhiệm', 'tín thác', 'tơrơt', 'bán chịu', 'bỏ mặc', 'cho chịu', 'giao phó', 'ký thác', 'kỳ vọng', 'niềm hy vọng', 'phó mặc', 'sự bán chịu', 'sự giao phó', 'sự mua chịu', 'sự phó thác', 'sự tin cậy', 'sự trông mong', 'sự tín nhiệm', 'sự uỷ thác', 'tin cậy vào', 'trông cậy', 'trông mong', 'tín dụng', 'từ rớt', 'uỷ thác', 'để mặc', 'ủy thác', 'mong muốn', 'sự trông nom', 'tin cẩn']"
bad news,['cannot found']
rumor,"['rumour', 'lời đồn', 'lời đồn đoán', 'tin đồn']"
Good news,['cannot found']
good news,['cannot found']
fake news,['cannot found']
trust,"['tin cậy', 'tin', 'tín nhiệm', 'hy vọng', 'phó thác', 'lòng tin', 'sứ mệnh', 'sự tin tưởng', 'tin tưởng', 'trách nhiệm', 'tín thác', 'tơrơt', 'bán chịu', 'bỏ mặc', 'cho chịu', 'giao phó', 'ký thác', 'kỳ vọng', 'niềm hy vọng', 'phó mặc', 'sự bán chịu', 'sự giao phó', 'sự mua chịu', 'sự phó thác', 'sự tin cậy', 'sự trông mong', 'sự tín nhiệm', 'sự uỷ thác', 'tin cậy vào', 'trông cậy', 'trông mong', 'tín dụng', 'từ rớt', 'uỷ thác', 'để mặc', 'ủy thác', 'mong muốn', 'sự trông nom', 'tin cẩn']"
dew news,['cannot found']
news,"['tin tức', 'tin', 'bản tin', 'thời sự', 'tăm hơi', 'âm tín']"
trust,"['tin cậy', 'tin', 'tín nhiệm', 'hy vọng', 'phó thác', 'lòng tin', 'sứ mệnh', 'sự tin tưởng', 'tin tưởng', 'trách nhiệm', 'tín thác', 'tơrơt', 'bán chịu', 'bỏ mặc', 'cho chịu', 'giao phó', 'ký thác', 'kỳ vọng', 'niềm hy vọng', 'phó mặc', 'sự bán chịu', 'sự giao phó', 'sự mua chịu', 'sự phó thác', 'sự tin cậy', 'sự trông mong', 'sự tín nhiệm', 'sự uỷ thác', 'tin cậy vào', 'trông cậy', 'trông mong', 'tín dụng', 'từ rớt', 'uỷ thác', 'để mặc', 'ủy thác', 'mong muốn', 'sự trông nom', 'tin cẩn']"
canard,"['tin vịt', 'vịt', 'Tin vịt']"
credit,"['tín dụng', 'tin', 'bên có', 'sự cho chịu', 'sự cho nợ', 'tiền gửi ngân hàng', 'cho là', 'công nhận', 'công trạng', 'danh tiếng', 'danh vọng', 'lòng tin', 'nguồn vẻ vang', 'ngân khoản', 'sự mua chịu', 'sự tin', 'sự tin tưởng', 'sự vẻ vang', 'thế lực', 'tín chỉ', 'uy tín', 'vào sổ bên có', 'ảnh hưởng', 'Tín dụng', 'sự tín nhiệm', 'tín chæ, loøng tin, tín duïng']"
credit,"['tín dụng', 'tin', 'bên có', 'sự cho chịu', 'sự cho nợ', 'tiền gửi ngân hàng', 'cho là', 'công nhận', 'công trạng', 'danh tiếng', 'danh vọng', 'lòng tin', 'nguồn vẻ vang', 'ngân khoản', 'sự mua chịu', 'sự tin', 'sự tin tưởng', 'sự vẻ vang', 'thế lực', 'tín chỉ', 'uy tín', 'vào sổ bên có', 'ảnh hưởng', 'Tín dụng', 'sự tín nhiệm', 'tín chæ, loøng tin, tín duïng']"
credits,['danh đề phim']
creditor,"['bên có', 'chủ nợ', 'người cho vay', 'người chủ nợ']"
Credit,"['Cho vay', 'sự cho chịu', 'sự cho nợ', 'tiền gửi ngân hàng', 'cho là', 'công nhận', 'công trạng', 'danh tiếng', 'danh vọng', 'lòng tin', 'nguồn vẻ vang', 'ngân khoản', 'sự mua chịu', 'sự tin', 'sự tin tưởng', 'sự vẻ vang', 'thế lực', 'tín chỉ', 'uy tín', 'vào sổ bên có', 'ảnh hưởng', 'Tín dụng', 'sự tín nhiệm', 'tín chæ, loøng tin, tín duïng']"
creed,"['tín ngưỡng', 'tín điều', 'đức tin', 'Bản tín điều']"
faithful,"['trung thành', 'chung thủy', 'trung thực', 'chung thuỷ', 'chính xác', 'khớp', 'thành tín', 'trung kiên', 'trung tín', 'đúng', 'có lương tâm', 'kiên trinh', 'son sắt', 'trung nghĩa', 'đáng tin cậy']"
signal,"['tín hiệu', 'báo hiệu', 'dấu hiệu', 'ra hiệu', 'chuyển', 'dùng làm dấu hiệu', 'gương mẫu', 'hiệu lệnh', 'làm dấu', 'nghiêm minh', 'nổi tiếng', 'đang kể', 'đáng chú ý', 'để ra hiệu', 'Tín hiệu']"
loyal,"['trung thành', 'chung thủy', 'chân thành', 'kiên trinh', 'người trung kiên', 'người trung nghĩa', 'thủy chung', 'trung kiên', 'trung nghĩa', 'trinh']"
beliefs,['cannot found']
trust,"['tin cậy', 'tin', 'tín nhiệm', 'hy vọng', 'phó thác', 'lòng tin', 'sứ mệnh', 'sự tin tưởng', 'tin tưởng', 'trách nhiệm', 'tín thác', 'tơrơt', 'bán chịu', 'bỏ mặc', 'cho chịu', 'giao phó', 'ký thác', 'kỳ vọng', 'niềm hy vọng', 'phó mặc', 'sự bán chịu', 'sự giao phó', 'sự mua chịu', 'sự phó thác', 'sự tin cậy', 'sự trông mong', 'sự tín nhiệm', 'sự uỷ thác', 'tin cậy vào', 'trông cậy', 'trông mong', 'tín dụng', 'từ rớt', 'uỷ thác', 'để mặc', 'ủy thác', 'mong muốn', 'sự trông nom', 'tin cẩn']"
trustee,"['uỷ viên quản trị', 'ủy thác']"
bills of exchange,['cannot found']
trust,"['tin cậy', 'tin', 'tín nhiệm', 'hy vọng', 'phó thác', 'lòng tin', 'sứ mệnh', 'sự tin tưởng', 'tin tưởng', 'trách nhiệm', 'tín thác', 'tơrơt', 'bán chịu', 'bỏ mặc', 'cho chịu', 'giao phó', 'ký thác', 'kỳ vọng', 'niềm hy vọng', 'phó mặc', 'sự bán chịu', 'sự giao phó', 'sự mua chịu', 'sự phó thác', 'sự tin cậy', 'sự trông mong', 'sự tín nhiệm', 'sự uỷ thác', 'tin cậy vào', 'trông cậy', 'trông mong', 'tín dụng', 'từ rớt', 'uỷ thác', 'để mặc', 'ủy thác', 'mong muốn', 'sự trông nom', 'tin cẩn']"
credits,['danh đề phim']
pure,"['tinh khiết', 'nguyên chất', 'trong sáng', 'trong', 'thuần khiết', 'hoàn toàn', 'ròng', 'chỉ là', 'không lai', 'thanh khiết', 'thanh tịnh', 'thuần chủng', 'thuần tuý', 'thuần túy', 'trinh bạch', 'trong sạch', 'trong trắng', 'đơn thuần', 'thanh', 'trong lành', 'khiết', 'thuần', 'tuý', 'trinh', 'bạch', 'không', 'trong trẻo']"
elite,"['tinh nhuệ', 'tầng lớp thượng lưu', 'ưu tú']"
sperm,"['tinh dịch', 'tinh trùng', '精液', 'spermaceti', 'spermatozoon', 'sperm-whale']"
starch,"['tinh bột', 'bột', 'hồ', 'hố bột', 'hồ cứng', 'nghị lực', 'sức mạnh', 'sức sống', 'Tinh bột']"
planet,"['hành tinh', '行星', 'áo lễ', 'tinh']"
essence,"['bản chất', 'thực chất', 'tinh chất', 'cốt lõi', 'dầu thơm', 'nước cốt', 'tinh hoa', 'tinh túy', 'cốt', 'bản thể', 'cốt yếu', 'nước hoa', 'thực tế', 'tính chất', 'vật tồn tại']"
refined,"['tao nhã', 'lịch sự', 'tinh chế', 'bay bướm', 'cao nhã', 'có học thức', 'nguyên chất', 'nho nhã', 'tế nhị', 'văn vẻ', 'xảo diệu', 'đã lọc', 'đã qua tinh chế', 'đã tinh chế', 'đã tinh lọc', 'duyên dáng', 'kiều diễm', 'nhã', 'phong nhã', 'trang nhã', 'xinh đẹp', 'yêu kiều']"
